Index,Method,Source,Lab,Lat (N),Long (E),Sample Name,Lithology,Mineral,Age (Ma),2sigma,p-value,MSWD,df,n,Age Type,Instrument,Journal,DOI,Coordinates From
25,U-Pb,"Altunkaynak et al., 2012a",7,39.90261,28.99214,Orhaneli_a,Syenite,Zircon,46.38,0.67,0.130,1.60,7,8,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
26,U-Pb,"Altunkaynak et al., 2012a",7,39.98075,28.99282,Topuk,Granodiorite,Zircon,48.71,0.44,0.060,1.70,12,13,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
27,U-Pb,"Altunkaynak et al., 2012a",7,39.95969,29.38660,Tepeldağ,Granite,Zircon,45.41,0.34,0.054,1.70,13,14,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
28,U-Pb,"Altunkaynak et al., 2012a",7,39.90496,29.03306,Gürgenyayla,Granodiorite,Zircon,51.02,0.52,0.048,1.80,11,12,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
29,U-Pb,"Altunkaynak et al., 2012a",7,40.43241,27.87324,Kapıdağ2,Granodiorite,Zircon,36.79,0.67,0.330,1.15,7,8,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
30,U-Pb,"Altunkaynak et al., 2012a",7,40.42197,27.27850,Karabiga,Granite,Zircon,47.02,0.82,0.008,2.40,10,11,mean,SHRIMP,Lithos,http://dx.doi.org/10.1016/j.lithos.2012.09.008,Coordinates gathered from map
31,U-Pb,"Altunkaynak et al., 2012b",7,39.91059,28.227402,Çataldağ,granite,Zircon,21.91,0.33,0.350,1.11,11,12,mean,SHRIMP,Gondwana Research,https://doi.org/10.1016/j.gr.2011.10.010,Coordinates gathered from map
32,U-Pb,"Altunkaynak et al., 2012b",7,39.692264,27.098079,Eybek,granite,Zircon,23.94,0.31,0.100,1.60,10,11,mean,SHRIMP,Gondwana Research,https://doi.org/10.1016/j.gr.2011.10.010,Coordinates gathered from map
33,U-Pb,"Altunkaynak et al., 2012b",7,39.367153,28.715765,Çamlık,granite,Zircon,22.60,0.77,0.000,13.00,15,16,mean,SHRIMP,Gondwana Research,https://doi.org/10.1016/j.gr.2011.10.010,Coordinates gathered from map
34,U-Pb,"Altunkaynak et al., 2012b",7,39.305601,29.085997,Eğrigöz,granite,Zircon,19.48,0.29,0.530,0.93,15,16,mean,SHRIMP,Gondwana Research,https://doi.org/10.1016/j.gr.2011.10.010,Coordinates gathered from map
35,U-Pb,"Arslan and Aslan, 2006",8,40.45536,39.75126,G24,Granitic stock,Zircon,44.40,0.30,0.791,0.07,1,2,mean,TIMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2005.03.002,Coordinates gathered from map
36,U-Pb,"Aslan et al., 2026",9,39.359839,28.609127,TGP-5054,metagranitic rock,Zircon,311.72,0.84,0.170,0.19,18,19,mean,SHRIMP,Journal of African Earth Sciences,https://doi.org/10.1016/j.jafrearsci.2025.105953,Coordinates gathered from map
37,U-Pb,"Aslan et al., 2026",9,39.346598,28.636691,TGP-5059,Metagranite porphyry,Zircon,309.21,0.99,0.670,0.18,14,15,mean,SHRIMP,Journal of African Earth Sciences,https://doi.org/10.1016/j.jafrearsci.2025.105953,Coordinates gathered from map
38,U-Pb,"Aslan, 2010",9,40.47172,39.48820,K5,Tuff,Zircon,45.80,1.20,0.012,2.40,8,9,mean,SHRIMP,"Neues Jahrbuch fur Mineralogie, Abhandlungen",https://doi.org/10.1127/0077-7757/2010/0181,Coordinates gathered from map
39,U-Pb,"Aydar et al., 2012",10,38.39550,34.93060,K-287,Ignimbrite,Zircon,6.90,0.34,0.160,1.45,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
40,U-Pb,"Aydar et al., 2012",10,38.48800,34.94910,K-372,Ignimbrite,Zircon,6.76,0.30,0.902,0.46,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
41,U-Pb,"Aydar et al., 2012",10,38.62580,34.83320,KL-17,Ignimbrite,Zircon,9.43,0.38,0.927,0.39,8,9,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
42,U-Pb,"Aydar et al., 2012",10,38.41460,34.81500,KPD-08-004,Ignimbrite,Zircon,6.96,0.28,0.806,0.59,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
43,U-Pb,"Aydar et al., 2012",10,38.62510,34.83390,KPD-08-009,Ignimbrite,Zircon,9.95,0.49,0.972,0.25,7,8,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
44,U-Pb,"Aydar et al., 2012",10,38.66250,34.82370,KPD-08-034,Ignimbrite,Zircon,10.00,0.50,0.820,0.52,7,8,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
45,U-Pb,"Aydar et al., 2012",10,38.52350,34.86850,KL-01,Ignimbrite,Zircon,8.59,0.51,0.896,0.47,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
46,U-Pb,"Aydar et al., 2012",10,38.50630,34.85340,KL-02A,Ignimbrite,Zircon,6.33,0.23,0.968,0.48,18,19,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
47,U-Pb,"Aydar et al., 2012",10,38.48620,34.81980,KL-03,Ignimbrite,Zircon,6.66,0.40,0.138,1.51,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
48,U-Pb,"Aydar et al., 2012",10,38.48500,34.93030,KL-05,Ignimbrite,Zircon,5.11,0.37,0.972,0.31,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
49,U-Pb,"Aydar et al., 2012",10,38.62530,34.83440,KL-10,Ignimbrite,Zircon,9.13,0.51,0.374,1.08,9,10,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
50,U-Pb,"Aydar et al., 2012",10,38.70370,34.83350,KL-18,Ignimbrite,Zircon,9.13,0.40,0.558,0.90,14,15,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
51,U-Pb,"Aydar et al., 2012",10,38.70900,34.98390,KL-19,Ignimbrite,Zircon,8.32,0.37,0.988,0.36,15,16,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
52,U-Pb,"Aydar et al., 2012",10,38.54810,34.51870,K-015,Granite,Zircon,77.80,4.40,0.384,1.06,6,7,mean,SIMS,Journal of Volcanology and Geothermal Researc,https://doi.org/10.1016/j.jvolgeores.2011.11.005,Precise coordinates
53,U-Pb,"Aydın et al., 2014",10,38.23083,34.54139,Goell-P,Rhyolite pumice,Zircon,0.90,0.03,0.000,3.10,24,13,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
54,U-Pb,"Aydın et al., 2014",10,38.27667,34.55417,Goell,Rhyolite lava,Zircon,1.08,0.03,0.000,3.30,28,15,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
55,U-Pb,"Aydın et al., 2014",10,38.01583,34.39278,KEC-1,Rhyolite pumice,Zircon,0.44,0.01,0.221,1.20,26,14,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
56,U-Pb,"Aydın et al., 2014",10,38.17583,34.42194,KEC-2,Rhyolite pumice,Zircon,0.35,0.06,0.023,1.60,28,15,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
57,U-Pb,"Aydın et al., 2014",10,38.11167,34.29028,K-84,Rhyolite lava,Zircon,0.45,0.04,0.862,0.63,16,9,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
58,U-Pb,"Aydın et al., 2014",10,38.11806,34.27750,K102P,Rhyolite pumice,Zircon,0.34,0.05,0.456,1.00,18,10,conc,SIMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-014-1078-3,Precise coordinates
59,U-Pb,"Aydın et al., 2020",11,41.19867,41.77294,Ah-5,Rhyolitic dome lava,Zircon,86.51,0.35,1.000,0.24,28,15,conc,SHRIMP,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2019.104217,Coordinates gathered from map
60,U-Pb,"Aydın et al., 2020",11,41.30373,41.84878,Ae4b,Rhyolitic block of tuff-breccia,Zircon,83.04,0.39,1.000,0.13,22,12,conc,SHRIMP,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2019.104217,Coordinates gathered from map
61,U-Pb,"Aydın, 2014",12,40.82284,39.61366,M1-1,Tonalite porphyritic rock,Zircon,80.31,0.84,1.000,0.41,58,30,conc,LA-ICPMS,International Geology Review,https://doi.org/10.1080/00206814.2014.933364,Coordinates gathered from map
62,U-Pb,"Aysal et al., 2012a",13,40.20875,27.39776,NA-205,Meta granite,Zircon,389.10,2.60,0.271,1.18,17,18,mean,SHRIMP,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2011.10.011,Coordinates gathered from map
63,U-Pb,"Aysal et al., 2012a",4,40.03359,27.25333,YI-18,Meta granite,Zircon,401.50,4.80,0.240,1.40,68,35,conc,LA-ICPMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2011.10.011,Coordinates gathered from map
64,U-Pb,"Aysal et al., 2012a",4,39.83713,27.31167,ÇMG-4,Meta granite,Zircon,401.40,7.80,0.390,0.75,40,21,conc,LA-ICPMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2011.10.011,Coordinates gathered from map
65,U-Pb,"Aysal et al., 2012a",4,39.76335,27.15739,ÇMG-11,Meta granite,Zircon,401.40,3.70,0.500,0.45,64,33,conc,LA-ICPMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2011.10.011,Coordinates gathered from map
66,U-Pb,"Aysal et al., 2012b",4,40.27019,28.34454,KR-9,Meta granite,Zircon,400.30,2.80,0.020,9.80,44,23,conc,LA-ICPMS,Geodinamica Acta ,https://doi.org/10.1080/09853111.2014.882536,Precise coordinates
67,U-Pb,"Aysal et al., 2018a",4,41.76945,27.27771,KG-1,Granite,Zircon,268.30,2.10,0.220,1.50,34,18,conc,LA-ICPMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2018.06.026,Coordinates gathered from map
68,U-Pb,"Aysal et al., 2018a",13,41.02025,28.52247,ÇT-23,Granite,Zircon,249.40,1.50,0.490,0.96,15,16,mean,SHRIMP,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2018.06.026,Coordinates gathered from map
69,U-Pb,"Aysal et al., 2018a",13,40.90271,29.40805,G-16,Granite,Zircon,257.30,1.50,0.880,0.57,17,18,mean,SHRIMP,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2018.06.026,Coordinates gathered from map
70,U-Pb,"Aysal et al., 2018b",4,41.03648,29.03934,GD1,Mafic dykes,Zircon,72.49,0.79,0.220,1.50,22,23,mean,LA-ICPMS,GSL Special Publications,https://doi.org/10.1144/SP464.4,Coordinates gathered from map
71,U-Pb,"Aysal et al., 2018b",4,40.98877,29.07000,ATA-2,Mafic dykes,Zircon,65.44,0.93,0.230,1.40,20,21,mean,LA-ICPMS,GSL Special Publications,https://doi.org/10.1144/SP464.4,Coordinates gathered from map
72,U-Pb,"Aysal et al., 2018b",4,40.87976,29.21687,P-1,Diorite,Zircon,58.90,1.80,0.072,3.20,12,13,mean,LA-ICPMS,GSL Special Publications,https://doi.org/10.1144/SP464.4,Coordinates gathered from map
73,U-Pb,"Aysal et al., 2021",4,39.82769,27.52279,DG-5,Granite,Zircon,23.63,0.34,0.046,4.00,24,13,conc,LA-ICPMS,Turkish Journal of Earth Sciences,https://doi.org/10.3906/yer-2005-6,Coordinates gathered from map
74,U-Pb,"Aysal et al., 2024",14,39.89389,27.13547,KH-34a,Skarn,garnet,25.26,0.30,1.000,0.34,51,53,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126169,Coordinates gathered from map
75,U-Pb,"Aysal et al., 2024",5,39.89626,27.13594,KH-34b,Skarn,garnet,26.01,1.02,0.000,3.70,26,28,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126169,Coordinates gathered from map
76,U-Pb,"Aysal et al., 2024",14,39.89563,27.27743,NG-15a,Skarn,garnet,24.85,1.68,0.019,1.50,38,40,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126169,Coordinates gathered from map
77,U-Pb,"Aysal et al., 2024",52,39.89579,27.29833,NG-15b,Skarn,garnet,25.81,3.97,0.000,3.10,21,23,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126169,Coordinates gathered from map
78,U-Pb,"Aysal et al., 2024",53,39.89622,27.29122,NG-15c,Skarn,garnet,21.03,0.38,0.003,1.50,71,73,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126169,Coordinates gathered from map
79,U-Pb,"Aysal et al., 2025",14,40.44616,29.73318,OC-8,Grey marble,calcite,94.84,1.41,0.000,4.90,37,39,disc,LA-ICPMS,Turkish Journal of Earth Sciences,https://doi.org/10.55730/1300-0985.1981,Precise coordinates
80,U-Pb,"Aysal et al., 2025",14,40.44659,29.74428,OC-6,Grey marble,calcite,88.03,2.13,0.000,3.70,51,53,disc,LA-ICPMS,Turkish Journal of Earth Sciences,https://doi.org/10.55730/1300-0985.1981,Precise coordinates
81,U-Pb,"Aysal et al., 2025",14,40.49353,29.72722,OC-10,White marble,calcite,93.06,8.55,0.029,1.60,26,28,disc,LA-ICPMS,Turkish Journal of Earth Sciences,https://doi.org/10.55730/1300-0985.1981,Precise coordinates
82,U-Pb,"Aysal, 2015",4,39.98205,27.10464,Zeybekçayırı,Granitoid,Zircon,26.53,0.58,0.250,1.30,22,12,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
83,U-Pb,"Aysal, 2015",4,39.57519,26.81759,Avcılar,Granitoid,Zircon,27.89,0.41,0.000,5.10,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
84,U-Pb,"Aysal, 2015",4,39.96865,27.13473,Hıdırlar,Granitoid,Zircon,26.33,0.38,0.000,4.20,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
85,U-Pb,"Aysal, 2015",4,39.90723,27.22089,Kurtlar,Granitoid,Zircon,25.39,0.55,0.000,5.90,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
86,U-Pb,"Aysal, 2015",4,39.91908,27.29396,Namazgah,Granitoid,Zircon,24.79,0.38,0.394,1.05,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
87,U-Pb,"Aysal, 2015",4,39.95744,27.26861,Nevruz-Çakıroba,Granitoid,Zircon,23.85,0.60,0.000,10.80,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
88,U-Pb,"Aysal, 2015",4,40.02696,27.30434,Yapaztepe,Granitoid,Zircon,25.03,0.62,0.540,0.37,22,12,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
89,U-Pb,"Aysal, 2015",4,39.94253,27.35768,Kızıldam,Granitoid,Zircon,22.87,0.35,0.000,7.60,26,14,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
90,U-Pb,"Aysal, 2015",4,40.02646,27.33910,Sarıoluk,Granitoid,Zircon,23.97,1.06,0.000,11.40,40,21,conc,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2015.03.026,Coordinates gathered from map
91,U-Pb,"Ballato et al., 2018",15,41.62327,33.59230,DVK-03,Granodiorite,Zircon,169.40,0.61,0.510,0.44,24,13,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
92,U-Pb,"Ballato et al., 2018",15,41.83753,33.64623,KUR-11,Granodiorite,Zircon,169.40,0.56,0.880,0.02,50,26,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
93,U-Pb,"Ballato et al., 2018",15,41.83668,34.08795,RTZ-03,Granodiorite,Zircon,322.20,2.70,0.250,1.30,38,20,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
94,U-Pb,"Ballato et al., 2018",15,41.90932,33.95225,SEL-05,Granite,Zircon,309.80,0.96,0.560,0.35,38,20,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
95,U-Pb,"Ballato et al., 2018",15,41.71303,34.53381,HAN-03,Granodiorite,Zircon,173.50,1.30,0.890,0.02,22,12,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
96,U-Pb,"Ballato et al., 2018",15,41.57098,34.97650,KOZ-04-1,Granodiorite,Zircon,239.40,1.30,0.460,0.54,12,7,conc,LA-ICPMS,Tectonics,https://doi.org/10.1029/2017TC004808,Precise coordinates
97,U-Pb,"Becaletto et al., 2007",16,40.41876,27.26768,KB90,Granitoid,xenotime,52.70,3.80,0.348,1.10,16,9,conc,LA-ICPMS,Geological Magazine,https://doi.org/10.1017/S001675680700310X,Precise coordinates
98,U-Pb,"Beyarslan et al., 2016",17,38.17886,38.86565,13TK51,Augen gneiss,Zircon,551.00,6.00,0.000,3.70,20,21,mean,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2016.08.006,Precise coordinates
99,U-Pb,"Beyarslan et al., 2016",17,38.17886,38.86565,13TK54,Augen gneiss,Zircon,544.00,4.00,0.109,1.40,20,21,mean,LA-ICPMS,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2016.08.006,Precise coordinates
100,U-Pb,"Bozkaya et al., 2024",5,39.20908,38.37291,T5-B2,Limestone/exoskarn,garnet,46.53,9.10,0.000,5.80,20,22,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126163,Coordinates gathered from map
101,U-Pb,"Bozkaya et al., 2024",5,39.21191,38.37296,BİZ-29,Quartz diorite,garnet,45.63,4.62,0.004,1.90,28,30,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126163,Coordinates gathered from map
102,U-Pb,"Bozkaya et al., 2024",5,39.21397,38.36960,T4-C7,Quartz diorite,garnet,46.95,3.65,0.740,0.82,28,30,disc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126163,Coordinates gathered from map
103,U-Pb,"Candan et al., 2011 ",2,37.49596,28.26086,04-70,Leucocratic metagranite porphyry,Zircon,549.00,10.80,0.740,0.11,26,14,conc,LA-ICPMS,Precambrian Research,https://doi.org/10.1016/j.precamres.2010.09.010,Coordinates gathered from map
104,U-Pb,"Candan et al., 2011 ",2,37.49165,28.26692,C-12,Leucocratic metagranite porphyry,Zircon,549.60,7.40,0.280,1.19,28,15,conc,LA-ICPMS,Precambrian Research,https://doi.org/10.1016/j.precamres.2010.09.010,Coordinates gathered from map
105,U-Pb,"Candan et al., 2016a",28,39.27400,28.84400,2073,Granoblastic metagranite,Zircon,321.90,5.20,0.894,0.59,16,9,conc,LA-ICPMS,Tectonophysics,http://dx.doi.org/10.1016/j.tecto.2016.06.030,Precise coordinates
106,U-Pb,"Candan et al., 2016a",28,39.36551,28.20937,2243,Granoblastic metagranite,Zircon,320.50,5.00,0.564,0.94,32,17,conc,LA-ICPMS,Tectonophysics,http://dx.doi.org/10.1016/j.tecto.2016.06.030,Precise coordinates
107,U-Pb,"Candan et al., 2016a",28,39.35696,28.21291,2089,Porphyritic metagranite,Zircon,324.40,4.60,0.895,0.71,34,18,conc,LA-ICPMS,Tectonophysics,http://dx.doi.org/10.1016/j.tecto.2016.06.030,Precise coordinates
108,U-Pb,"Candan et al., 2016a",28,39.36923,28.21655,2093,Porphyritic metagranite,Zircon,331.30,3.40,0.063,1.40,33,34,mean,LA-ICPMS,Tectonophysics,http://dx.doi.org/10.1016/j.tecto.2016.06.030,Precise coordinates
