Index,Method,Source,Lab,Lat (N),Long (E),Sample Name,Lithology,Mineral,Age (Ma),2sigma,p-value,MSWD,df,n,Age Type,Instrument,Journal,DOI,Coordinates From
275,U-Pb,"Eyüboğlu et al., 2025",1,40.31186,39.08804,C-187,Andesite porphyry,Zircon,205.40,1.00,0.192,1.30,15,16,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
276,U-Pb,"Eyüboğlu et al., 2025",30,40.31012,39.09400,C-56,Contact metamorphosed andesite porphyry,Zircon,207.60,2.40,0.084,1.60,12,13,mean,SHRIMP,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
277,U-Pb,"Eyüboğlu et al., 2025",1,40.25308,39.30688,EL-4,Quartz diorite porphyry,Zircon,206.90,1.10,1.000,0.17,18,19,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
278,U-Pb,"Eyüboğlu et al., 2025",1,40.25476,39.29880,C-198,Quartz diorite porphyry,Zircon,205.00,1.20,0.976,0.40,14,15,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
279,U-Pb,"Eyüboğlu et al., 2025",17,40.23898,39.30104,C-127A,Quartz diorite porphyry,Zircon,204.40,1.70,0.998,0.33,21,22,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
280,U-Pb,"Eyüboğlu et al., 2025",17,40.22958,39.27069,C-205,Diabase,Zircon,173.90,1.40,0.608,0.72,5,6,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
281,U-Pb,"Eyüboğlu et al., 2025",1,40.22912,39.30661,C-201,Amp-poor andesite porphyry,Zircon,174.84,0.90,1.000,0.21,16,17,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
282,U-Pb,"Eyüboğlu et al., 2025",1,40.40451,38.43066,C-317,Amp-rich andesite porphyry,Zircon,172.60,1.40,0.000,2.60,25,26,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
283,U-Pb,"Eyüboğlu et al., 2025",1,40.23248,39.72321,GSK-2,Tonalite,Zircon,172.90,0.90,0.836,0.66,16,17,mean,LA-ICPMS,Geoscience Frontiers,https://doi.org/10.1016/j.gsf.2024.101952,Coordinates gathered from map
284,U-Pb,"Gessner et al., 2004",32,37.53016,27.94650,TAB,Metagranite,Zircon,541.00,14.00,0.012,1.90,18,10,conc,SHRIMP,Journal of the Geological Society,https://doi.org/10.1144/0016-764902-166,Coordinates gathered from map
285,U-Pb,"Gessner et al., 2004",32,37.50403,27.64448,TU23,Metagranite,Zircon,566.00,9.00,0.999,0.36,26,14,conc,SHRIMP,Journal of the Geological Society,https://doi.org/10.1144/0016-764902-166,Coordinates gathered from map
286,U-Pb,"Göçmengil et al., 2025",5,40.12078,36.91539,904,Leucogabbro,Zircon,44.10,3.30,0.730,0.82,6,4,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2025.108260,Coordinates gathered from map
287,U-Pb,"Gücer et al., 2016",55,41.62303,33.97728,DA3,Biotite-microcline gneiss,Zircon,252.50,8.80,0.037,1.80,27,28,mean,LA-ICPMS,Mineralogy and Petrology,https://doi.org/10.1007/s00710-016-0443-5,Precise coordinates
288,U-Pb,"Gücer et al., 2016",55,41.61754,33.97059,DG9,Biotite-microcline gneiss,Zircon,273.00,18.00,0.000,8.70,14,16,disc,LA-ICPMS,Mineralogy and Petrology,https://doi.org/10.1007/s00710-016-0443-5,Precise coordinates
289,U-Pb,"Gücer et al., 2016",55,41.61957,33.95558,G3,Quartz-feldspathic gneiss,Zircon,316.10,8.80,0.300,1.09,22,23,mean,LA-ICPMS,Mineralogy and Petrology,https://doi.org/10.1007/s00710-016-0443-5,Precise coordinates
290,U-Pb,"Güloğlu et al., 2025",29,40.536019,38.834226,S13,gabbroic diorite,Zircon,46.10,0.26,0.850,0.62,14,15,mean,LA-ICPMS,Mineralogy and Petrology,https://doi.org/10.1007/s00710-024-00881-2,Coordinates gathered from map
291,U-Pb,"Güloğlu et al., 2025",29,40.521151,38.8829,S19,granodiorite,Zircon,45.37,0.29,0.170,1.40,10,11,mean,LA-ICPMS,Mineralogy and Petrology,https://doi.org/10.1007/s00710-024-00881-2,Coordinates gathered from map
292,U-Pb,"Günay et al., 2022",34,41.61433,34.40665,ZA-6,Dacite,Zircon,165.00,6.00,1.000,0.05,22,12,conc,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2021.104660,Coordinates gathered from map
293,U-Pb,"Günay et al., 2022",34,41.61433,34.40665,ZA-7,Dacite,Zircon,170.00,2.00,0.746,0.66,9,10,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2021.104660,Coordinates gathered from map
294,U-Pb,"Güngör et al., 2018",28,37.02719,28.63095,C,Metamorphic sole,Zircon,96.70,1.58,0.260,1.30,8,5,conc,LA-ICPMS,International Geology Review,https://doi.org/10.1080/00206814.2018.1498029,Coordinates gathered from map
295,U-Pb,"Güngör et al., 2025",3,38.86319,27.88089,A,Metarhyolite,Zircon,237.40,1.10,0.260,1.30,36,19,conc,LA-ICPMS,Turkish Journal of Earth Sciences,https://doi.org/10.55730/1300-0985.1944,Coordinates gathered from map
296,U-Pb,"Hasözbek et al., 2010",35,39.20491,28.81724,739,Gneiss,Zircon,543.00,10.00,0.055,2.90,2,4,disc,TIMS,Journal of Geodynamics,https://doi.org/10.1016/j.jog.2010.03.002,Coordinates gathered from map
297,U-Pb,"Hasözbek et al., 2010",35,39.29847,29.01619,737A,Metagranite,Zircon,30.04,0.56,0.034,2.90,3,5,disc,TIMS,Journal of Geodynamics,https://doi.org/10.1016/j.jog.2010.03.002,Coordinates gathered from map
298,U-Pb,"Hasözbek et al., 2010",35,39.29814,28.93248,1211,Granite,Zircon,21.70,1.0,0.619,0.48,2,4,disc,TIMS,Journal of Geodynamics,https://doi.org/10.1016/j.jog.2010.03.002,Coordinates gathered from map
299,U-Pb,"Hasözbek et al., 2010",35,39.36150,29.01885,1212,Granite,Zircon,19.30,4.40,0.000,33.00,3,5,disc,TIMS,Journal of Geodynamics,https://doi.org/10.1016/j.jog.2010.03.002,Coordinates gathered from map
300,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.77876,27.35122,K-15,Volcanic rock,Zircon,17.64,0.40,0.370,0.79,36,19,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
301,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.77889,27.34912,K-16,Volcanic rock,Zircon,17.22,0.30,0.150,2.10,58,30,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
302,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.77855,27.34594,K-13,Volcanic rock,Zircon,16.16,0.34,0.130,2.30,44,23,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
303,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.76530,27.35017,Ç-52,Volcanic rock,Zircon,16.36,0.26,0.055,3.70,40,21,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
304,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.76385,27.35072,Ç-54,Volcanic rock,Zircon,15.79,1.42,0.290,1.14,20,11,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
305,U-Pb,"İskenderoğlu and Aysal, 2021",5,38.76205,27.35005,Ç-58,Volcanic rock,Zircon,13.61,0.40,0.160,2.00,36,19,conc,LA-ICPMS,All Earth,https://doi.org/10.1080/09853111.2021.1904492,Coordinates gathered from map
306,U-Pb,"Kandemir et al., 2019",36,41.32590,41.25394,R3,Granitoid,Zircon,85.21,0.25,0.107,1.30,36,38,disc,LA-ICPMS,GSA Bulletin,https://doi.org/10.1130/B31913.1,Precise coordinates
307,U-Pb,"Karaoğlan et al., 2013a",37,38.45990,38.88983,FK10,Kömürhan Ophiolite-Rhyolite,Zircon,74.60,4.40,0.016,5.80,2,2,conc,LA-ICPMS,Geoscience Frontiers,http://dx.doi.org/10.1016/j.gsf.2012.11.011,Coordinates gathered from map
308,U-Pb,"Karaoğlan et al., 2013a",37,38.46000,38.91283,FK48,Göksun Ophiolite-Rhyolite,Zircon,83.10,2.20,0.016,5.80,4,3,conc,LA-ICPMS,Geoscience Frontiers,http://dx.doi.org/10.1016/j.gsf.2012.11.011,Coordinates gathered from map
309,U-Pb,"Karaoglan et al., 2013b",37,38.32011,38.58125,FK08-44,Gabbro,Zircon,84.50,3.90,0.160,2.00,4,3,conc,LA-ICPMS,Geodinamica Acta,https://doi.org/10.1080/09853111.2013.858948,Precise coordinates
310,U-Pb,"Karaoğlan et al., 2013b",37,38.43594,38.98617,FK12,Gabbro,Zircon,87.20,3.10,0.110,2.50,6,4,conc,LA-ICPMS,Geodinamica Acta,https://doi.org/10.1080/09853111.2013.858948,Precise coordinates
311,U-Pb,"Karaoğlan et al., 2013c",37,38.09988,37.75617,FK13,Tonalite,Zircon,45.70,1.00,0.850,0.04,24,13,conc,LA-ICPMS,"GSL Special Publications,",http://dx.doi.org/10.1144/SP372.21,Coordinates gathered from map
312,U-Pb,"Karaoğlan et al., 2013c",37,38.04489,37.68358,FK14,Granodiorite,Zircon,46.90,1.50,0.840,0.04,16,9,conc,LA-ICPMS,"GSL Special Publications,",http://dx.doi.org/10.1144/SP372.21,Coordinates gathered from map
313,U-Pb,"Karaoğlan et al., 2013c",37,38.02208,37.71414,FK15,Diorite,Zircon,48.72,0.68,0.240,1.40,32,17,conc,LA-ICPMS,"GSL Special Publications,",http://dx.doi.org/10.1144/SP372.21,Coordinates gathered from map
314,U-Pb,"Karaoğlan et al., 2013c",37,38.07800,37.70003,FK31,Diorite,Zircon,50.80,1.10,0.260,1.30,12,7,conc,LA-ICPMS,"GSL Special Publications,",http://dx.doi.org/10.1144/SP372.21,Coordinates gathered from map
315,U-Pb,"Karaoğlan et al., 2016",37,38.62139,38.83083,FK02,Granite,Zircon,83.30,3.20,0.300,1.06,18,10,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
316,U-Pb,"Karaoğlan et al., 2016",37,38.61639,38.82750,FK03,Granite,Zircon,88.00,1.70,0.092,2.80,20,11,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
317,U-Pb,"Karaoğlan et al., 2016",37,38.53417,38.83806,FK04,Granite,Zircon,83.10,1.60,0.780,0.08,22,12,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
318,U-Pb,"Karaoğlan et al., 2016",37,38.50722,38.79111,FK07,Granodiorite,Zircon,83.10,1.60,0.160,1.90,42,22,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
319,U-Pb,"Karaoğlan et al., 2016",37,38.32389,38.53361,FK28,Granite,Zircon,84.14,0.81,0.540,0.38,90,46,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
320,U-Pb,"Karaoğlan et al., 2016",37,38.16389,36.80444,FK20,Granite,Zircon,83.90,2.60,0.620,0.25,34,18,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
321,U-Pb,"Karaoğlan et al., 2016",37,38.15472,36.81528,FK21,Granodiorite,Zircon,82.90,2.50,0.850,0.03,58,30,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
322,U-Pb,"Karaoğlan et al., 2016",37,38.13833,36.87472,FK22,Granite,Zircon,81.20,1.40,0.800,0.06,36,19,conc,LA-ICPMS,Gondwana Research,http://dx.doi.org/10.1016/j.gr.2015.12.011,Precise coordinates
323,U-Pb,"Karslı et al., 2012a",7,40.88158,39.10937,SD4,Monzonite,Zircon,41.60,#REF!,0.081,1.40,27,28,mean,SHRIMP,Journal of Asian Earth Sciences,http://dx.doi.org/10.1016/j.jseaes.2012.02.003,Coordinates gathered from map
324,U-Pb,"Karslı et al., 2012b",7,41.25190,42.08086,AS20,Quartz monzonite,Zircon,81.20,#REF!,0.066,1.50,21,22,mean,SHRIMP,Tectonophysics,https://doi.org/10.1016/j.tecto.2011.12.030,Coordinates gathered from map
325,U-Pb,"Karslı et al., 2016",56,40.35465,39.34057,CM21,Diorite,Zircon,302.01,#REF!,0.997,0.55,54,28,conc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2016.10.007,Coordinates gathered from map
326,U-Pb,"Karslı et al., 2017",56,40.11544,39.77542,GD1,Gabbro,Zircon,176.95,#REF!,0.350,1.08,29,30,mean,LA-ICPMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-017-1346-0,Coordinates gathered from map
327,U-Pb,"Karslı et al., 2017",56,40.11297,39.78954,GD23,Gabbroic diorite,Zircon,178.41,#REF!,0.320,1.10,29,30,mean,LA-ICPMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-017-1346-0,Coordinates gathered from map
328,U-Pb,"Karslı et al., 2018",56,40.60760,37.97746,CB20,Monzonite,Zircon,72.82,0.31,0.863,0.72,29,30,mean,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2017.12.025,Coordinates gathered from map
329,U-Pb,"Karslı et al., 2018",56,40.62195,37.75450,TC8,Monzonite,Zircon,73.48,0.3,0.211,1.20,29,30,mean,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2017.12.025,Coordinates gathered from map
330,U-Pb,"Karslı et al., 2019",38,40.82657,40.63631,CK 8_b,Adakitic volcanics,Zircon,5.25,0.12,0.999,0.41,33,35,disc,SIMS,Lithos,https://doi.org/10.1016/j.lithos.2019.03.029,Coordinates gathered from map
331,U-Pb,"Karslı et al., 2019",38,40.82657,40.63631,CK 8_a,Adakitic volcanics,Zircon,48.90,2.80,0.887,0.12,2,4,disc,SIMS,Lithos,https://doi.org/10.1016/j.lithos.2019.03.029,Coordinates gathered from map
332,U-Pb,"Karslı et al., 2020a",39,40.38718,39.51587,KKL24,Quartz diorite,Zircon,50.10,1.50,0.034,0.85,8,5,conc,LA-ICPMS,Journal of Asian Earth Sciences,https://doi.org/10.1016/j.jseaes.2020.104456,Coordinates gathered from map
333,U-Pb,"Karslı et al., 2020b",39,39.98730,30.05902,B3,Metagranitoid,Zircon,425.90,3.30,0.510,0.43,16,9,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
334,U-Pb,"Karslı et al., 2020b",39,39.96317,30.02283,B4,Metagranitoid,Zircon,428.50,4.70,0.300,1.09,22,12,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
335,U-Pb,"Karslı et al., 2020b",39,39.94536,29.95195,B11,Metagranitoid,Zircon,405.90,2.50,0.270,1.20,22,12,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
336,U-Pb,"Karslı et al., 2020b",39,40.04918,30.22996,BR1,Metagranitoid,Zircon,431.00,2.70,0.560,0.34,18,10,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
337,U-Pb,"Karslı et al., 2020b",39,40.04738,30.22383,BR6,Metagranitoid,Zircon,403.90,3.50,0.200,1.70,20,11,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
338,U-Pb,"Karslı et al., 2020b",39,40.04636,30.21763,BR7,Metagranitoid,Zircon,403.60,5.60,0.410,0.68,12,7,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2020.105641,Coordinates gathered from map
339,U-Pb,"Karslı et al., 2022a",39,40.04044,29.95813,D4,Granite,Zircon,161.40,1.20,0.070,3.30,14,8,conc,LA-ICPMS,Gondwana Research,https://doi.org/10.1016/j.gr.2021.11.014,Coordinates gathered from map
340,U-Pb,"Karslı et al., 2022a",39,40.03065,29.91935,D9,Granite,Zircon,162.80,1.40,0.340,0.90,16,9,conc,LA-ICPMS,Gondwana Research,https://doi.org/10.1016/j.gr.2021.11.014,Coordinates gathered from map
341,U-Pb,"Karslı et al., 2022a",39,40.06864,30.07889,KS5,Granite,Zircon,157.20,1.90,0.067,3.40,18,10,conc,LA-ICPMS,Gondwana Research,https://doi.org/10.1016/j.gr.2021.11.014,Coordinates gathered from map
342,U-Pb,"Karslı et al., 2022a",39,40.06511,30.08008,KS7,Granite,Zircon,159.90,1.60,0.110,2.50,24,13,conc,LA-ICPMS,Gondwana Research,https://doi.org/10.1016/j.gr.2021.11.014,Coordinates gathered from map
343,U-Pb,"Karslı et al., 2022a",39,40.06319,30.08080,KS11,Granite,Zircon,160.50,1.70,0.180,1.80,24,13,conc,LA-ICPMS,Gondwana Research,https://doi.org/10.1016/j.gr.2021.11.014,Coordinates gathered from map
344,U-Pb,"Karslı et al., 2022b",39,40.81069,41.62967,KM3_a,Granitoid,Zircon,328.40,2.80,0.370,0.79,10,6,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2022.106809,Coordinates gathered from map
345,U-Pb,"Karslı et al., 2022b",39,40.81069,41.62967,KM3_b,Granitoid,Zircon,530.00,2.80,0.260,1.20,12,7,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2022.106809,Coordinates gathered from map
346,U-Pb,"Karslı et al., 2022b",39,40.80916,41.63525,KM4_a,Granitoid,Zircon,328.70,3.80,0.510,0.43,10,6,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2022.106809,Coordinates gathered from map
347,U-Pb,"Karslı et al., 2022b",39,40.80916,41.63525,KM4_b,Granitoid,Zircon,534.70,5.70,0.170,1.90,12,7,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2022.106809,Coordinates gathered from map
348,U-Pb,"Karslı et al., 2023",40,40.03889,30.20183,BR19_a,Metagranite,Zircon,461.00,7.70,0.230,1.40,12,7,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2023.107075,Coordinates gathered from map
349,U-Pb,"Karslı et al., 2023",40,40.03889,30.20183,BR19_b,Metagranite,Zircon,575.20,5.10,0.580,0.30,12,7,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2023.107075,Coordinates gathered from map
350,U-Pb,"Karslı et al., 2023",40,40.03787,30.19863,BR5_a,Metagranite,Zircon,482.00,6.50,0.920,0.01,8,5,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2023.107075,Coordinates gathered from map
351,U-Pb,"Karslı et al., 2023",40,40.03787,30.19863,BR5_b,Metagranite,Zircon,588.00,4.30,0.970,0.00,14,8,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2023.107075,Coordinates gathered from map
352,U-Pb,"Kasapoğlu et al., 2016",2,40.15323,31.08787,NB-5,Basalt,Zircon,51.70,4.70,0.008,3.90,3,5,disc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2015.12.024,Coordinates gathered from map
353,U-Pb,"Kasapoğlu et al., 2016",40,40.15890,30.99268,NB-28,Andesite,Zircon,49.30,1.20,1.000,0.01,4,3,conc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2015.12.024,Coordinates gathered from map
354,U-Pb,"Kasapoğlu et al., 2016",40,40.02468,30.60101,NB-33,Andesite,Zircon,49.10,0.80,0.830,0.70,20,11,conc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2015.12.024,Coordinates gathered from map
355,U-Pb,"Kasapoğlu et al., 2016",40,40.23995,31.12859,NB-39,Andesite,Zircon,50.50,1.20,1.000,0.01,6,4,conc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2015.12.024,Coordinates gathered from map
356,U-Pb,"Kasapoğlu et al., 2016",40,40.14839,31.09119,NB-8,Rhyolite,Zircon,47.80,0.70,0.921,0.40,8,5,conc,LA-ICPMS,Lithos,http://dx.doi.org/10.1016/j.lithos.2015.12.024,Coordinates gathered from map
357,U-Pb,"Kaygısız et al., 2024",5,41.93320,26.81623,S1-43,Garnet-mica schist,Zircon,302.33,1.79,1.000,0.44,54,28,conc,LA-ICPMS,Geochemistry,https://doi.org/10.1016/j.chemer.2024.126172,Coordinates gathered from map
358,U-Pb,"Kaygısız and Şen, 2011",7,40.55505,39.291056,P21,Granodiorite,Zircon,79.30,#REF!,0.285,1.20,10,11,mean,SHRIMP,Geochemistry,https://doi.org/10.1016/j.chemer.2010.07.005,Precise coordinates
359,U-Pb,"Kaygısız et al., 2009 ",7,40.58434,39.28541,A-30,Monzogranite,Zircon,82.70,#REF!,0.660,0.78,11,12,mean,SHRIMP,Turkish Journal of Earth Sciences,https://doi.org/10.3906/yer-0806-1,Coordinates gathered from map
360,U-Pb,"Kılıç et al., 2024",4,38.88346,39.28737,S,Skarn,Zircon,74.10,5.00,0.002,9.50,18,10,conc,LA-ICPMS,Minerals,https://doi.org/10.3390/min14060539,Coordinates gathered from map
361,U-Pb,"Köksal et al., 2012",42,38.73134,33.91132,A,Granite,Zircon,84.05,0.96,0.320,1.16,6,7,mean,LA-ICPMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-011-0696-2,Coordinates gathered from map
362,U-Pb,"Köksal et al., 2012",42,38.86436,33.76497,E,Monzonite,Zircon,73.57,0.38,0.041,1.40,44,45,mean,LA-ICPMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-011-0696-2,Coordinates gathered from map
363,U-Pb,"Köksal et al., 2012",42,38.777305,34.259658,SMS,monzonite,Zircon,74.44,0.57,0.014,1.60,68,35,conc,LA-ICPMS,Contributions to Mineralogy and Petrology,https://doi.org/10.1007/s00410-011-0696-2,Coordinates gathered from map
364,U-Pb,"Koralay et al., 2012",2,37.74920,27.69379,07-31,Orthogneiss,Zircon,552.40,6.8,0.000,15.00,13,14,mean,LA-ICPMS, International Journal of Earth Sciences,https://doi.org/10.1007/s00531-012-0775-2,Coordinates gathered from map
365,U-Pb,"Koralay, 2015",7,38.06525,27.96907,05-2_a,Metagranodiorite,Zircon,577.70,2.70,0.000,2.70,46,24,conc,SHRIMP,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
366,U-Pb,"Koralay, 2015",7,38.06525,27.96907,05-2_b,Metagranodiorite,Zircon,580.00,6.00,0.002,2.60,12,7,conc,SHRIMP,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
367,U-Pb,"Koralay, 2015",2,38.06803,27.95055,371,Metagranodiorite,Zircon,550.00,4.00,0.640,0.80,11,12,mean,LA-ICPMS,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
368,U-Pb,"Koralay, 2015",7,38.06165,27.95551,05-3/1,Metagranodiorite,Zircon,589.00,14.00,0.000,6.20,14,8,conc,not specified,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
369,U-Pb,"Koralay, 2015",2,38.25968,28.07418,12-28_a,Metatonalite,Zircon,585.00,6.00,0.000,5.30,8,5,conc,LA-ICPMS,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
370,U-Pb,"Koralay, 2015",2,38.25968,28.07418,12-28_b,Metatonalite,Zircon,575.00,4.00,0.000,5.30,16,9,conc,LA-ICPMS,Geodinamica Acta,https://doi.org/10.1080/09853111.2015.1014987,Coordinates gathered from map
371,U-Pb,"Koralay, 2024",44,37.72671,28.59902,07-08,Amphibolite,Zircon,367.60,2.20,0.000,4.90,36,19,conc,LA-ICPMS,International Geology Review,https://doi.org/10.1080/00206814.2023.2273376,Coordinates gathered from map
372,U-Pb,"Kuşcu et al., 2019",30,40.9722,41.409497,WT13-114,Granite Porphyry,Zircon,82.80,1.20,0.720,0.45,3,4,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
373,U-Pb,"Kuşcu et al., 2019",30,40.575294,30.669527,WT13-P91,Granite Porphyry,Zircon,80.79,0.67,0.170,1.40,14,15,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
374,U-Pb,"Kuşcu et al., 2019",30,40.975878,33.566336,WT13-P130,Syenite Porphyry,Zircon,80.70,1.30,0.290,1.20,8,9,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
375,U-Pb,"Kuşcu et al., 2019",30,40.975195,33.412497,WT13-P144,Monzosyenite,Zircon,79.76,0.72,0.840,0.63,14,15,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
376,U-Pb,"Kuşcu et al., 2019",30,41.142728,41.951127,14IK-19_a,Dacite Porphyry,Zircon,50.82,0.63,0.080,1.60,12,13,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
377,U-Pb,"Kuşcu et al., 2019",30,41.142728,41.951127,14IK-19_b,Dacite Porphyry,Zircon,85.00,2.10,0.002,3.20,7,8,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
378,U-Pb,"Kuşcu et al., 2019",30,40.483512,39.220755,14IK12,Andesite porphyry,Zircon,47.06,0.42,0.950,1.60,11,12,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
379,U-Pb,"Kuşcu et al., 2019",30,40.56732,40.900001,WT13-E015,Granodiorite,Zircon,42.39,0.70,0.840,0.64,15,16,mean,LA-ICPMS,Ore Geology Reviews,https://doi.org/10.1016/j.oregeorev.2019.02.005,Precise coordinates
380,U-Pb,"Liu et al., 2018",7,40.70681,39.06568,14TK14,Tonalite,Zircon,90.80,0.40,0.186,1.30,16,17,mean,LA-ICPMS,JGR Solid Earth,https://doi.org/10.1029/2018JB016026,Coordinates gathered from map
381,U-Pb,"Liu et al., 2018",7,40.68677,39.12046,14TK17,Quartz diorite,Zircon,88.10,1.30,0.250,1.20,18,19,mean,LA-ICPMS,JGR Solid Earth,https://doi.org/10.1029/2018JB016026,Coordinates gathered from map
382,U-Pb,"Liu et al., 2018",7,40.82501,38.92571,14TK09,Tonalite,Zircon,86.10,1.00,0.695,0.80,17,18,mean,LA-ICPMS,JGR Solid Earth,https://doi.org/10.1029/2018JB016026,Coordinates gathered from map
383,U-Pb,"Liu et al., 2018",7,40.71612,39.04810,14TK13,Granodiorite,Zircon,85.50,0.60,0.267,1.20,14,15,mean,LA-ICPMS,JGR Solid Earth,https://doi.org/10.1029/2018JB016026,Coordinates gathered from map
384,U-Pb,"Liu et al., 2018",7,40.81212,38.92787,14TK10,Granodiorite,Zircon,82.70,0.40,0.254,1.20,17,18,mean,LA-ICPMS,JGR Solid Earth,https://doi.org/10.1029/2018JB016026,Coordinates gathered from map
